Title,Release Date,Worldwide box office,Rotten Tomatoes,Metacritic,Disributor,Original Game Publisher,,,,
Super Mario Bros.,28-May-1993,38912465,29,35/100,Buena Vista Pictures Distribution,Nintendo,,,,
Double Dragon,4-Nov-1994,4152699,12%,N/A,Gramercy Pictures,Technōs Japan,,,,
Street Fighter,23-Dec-1994,99423521,11%,34/100,Universal Pictures,Capcom,,,,
Mortal Kombat,18-Aug-1995,124741822,45%,60/100,New Line Cinema,Midway,,,,
Mortal Kombat: Annihilation,21-Nov-1997,51376861,4%,11/100,,,,,,
Wing Commander,12-Mar-1999,11578059,10%,21/100,20th Century Fox,Origin Systems,,,,
Lara Croft: Tomb Raider,15-Jun-2001,274703340,20%,33/100,Paramount Pictures,Eidos,,,,
Resident Evil,15-Mar-2002,"$102,984,862 ",35%,33/100,Sony Pictures Releasing,Capcom,,,,
Lara Croft: Tomb Raider – The Cradle of Life,25-Jul-2003,"$156,505,388 ",24%,43/100,Paramount Pictures,Eidos,,,,
House of the Dead,10-Oct-2003,"$13,818,181 ",3%,15/100,Artisan Entertainment,Sega,,,,
Resident Evil: Apocalypse,10-Sep-2004,"$129,342,769 ",19%,35/100,Sony Pictures Releasing,Capcom,,,,
Alone in the Dark,28-Jan-2005,"$10,442,808 ",1%,9/100,Lionsgate,Infogrames,,,,
Doom,21-Oct-2005,"$55,987,321 ",18%,34/100,Universal Pictures,id Software,,,,
BloodRayne,6-Jan-2006,"$3,650,275 ",4%,18/100,Boll KG Productions,Majesco Entertainment,,,,
Silent Hill,21-Apr-2006,"$97,607,453 ",32%,31/100,Sony Pictures Releasing,Konami,,,,
DOA: Dead or Alive,7-Sep-2006,"$7,516,532 ",33%,38/100,Metro-Goldwyn-Mayer / Dimension Films,Tecmo,,,,
Resident Evil: Extinction,21-Sep-2007,"$148,412,065 ",25%,41/100,Sony Pictures Releasing,Capcom,,,,
Postal,18-Oct-2007,"$146,741 ",9%,22/100,Vivendi Entertainment,Ripcord Games,,,,
Hitman,21-Nov-2007,"$101,276,318 ",16%,35/100,20th Century Fox,Eidos,,,,
In the Name of the King: A Dungeon Siege Tale,11-Jan-2008,"$13,097,915 ",4%,15/100,Microsoft Studios,,,,,
Far Cry,2-Oct-2008,"$743,634 ",N/A,N/A,Ubisoft,,,,,
Max Payne,17-Oct-2008,"$85,416,905 ",16%,31/100,Rockstar Games,,,,,
Street Fighter: The Legend of Chun-Li,27-Feb-2009,"$12,764,201 ",5%,17/100,Capcom,,,,,
Tekken,20-Mar-2010,"$1,697,207 ",0%,N/A,Warner Bros. Pictures,Bandai Namco Games,,,,
Prince of Persia: The Sands of Time,28-May-2010,"$336,365,676 ",37%,50/100,Walt Disney Studios Motion Pictures,Ubisoft,,,,
Resident Evil: Afterlife,10-Sep-2010,"$300,228,084 ",22%,37/100,Sony Pictures Releasing,Capcom,,,,
Resident Evil: Retribution,14-Sep-2012,"$240,004,424 ",28%,39/100,,,,,,
Silent Hill: Revelation,26-Oct-2012,"$52,302,796 ",10%,16/100,Open Road Films,Konami,,,,
Need for Speed,14-Mar-2014,"$203,277,636 ",23%,39/100,Walt Disney Studios Motion Pictures,Electronic Arts,,,,
Hitman: Agent 47,21-Aug-2015,"$82,347,656 ",8%,28/100,20th Century Fox,Square Enix,,,,
Warcraft,10-Jun-2016,"$439,048,914 ",28%,32/100,Universal Pictures,Blizzard Entertainment,,,,
Assassin's Creed,21-Dec-2016,"$240,558,621 ",18%,36/100,20th Century Fox,Ubisoft,,,,
Resident Evil: The Final Chapter,27-Jan-2017,"$312,257,250 ",37%,49/100,Sony Pictures Releasing,Capcom,,,,
Tomb Raider,16-Mar-2018,"$274,650,803 ",52%,48/100,Warner Bros. Pictures,Square Enix,,,,
Rampage,13-Apr-2018,"$428,028,233 ",51%,45/100,Warner Bros. Games,,,,,
Dead Trigger,3-May-2019,"$151,493 ",N/A,N/A,Saban Films,Madfinger Games,,,,
Pokemon: Detective Pikachu,10-May-2019,"$433,230,304 ",68%,53/100,Warner Bros. Pictures,Nintendo,,,,
Sonic the Hedgehog,14-Feb-2020,"$320,954,026 ",63%,47/100,Paramount Pictures,Sega,,,,
Monster Hunter,18-Dec-2020,"$42,145,959 ",45%,47/100,Sony Pictures Releasing,Capcom,,,,
Mortal Kombat,23-Apr-2021,"$83,601,013 ",54%,44/100,Warner Bros. Pictures,Warner Bros. Games,,,,
Werewolves Within,25-Jun-2021,"$937,490 ",86%,66/100,IFC Films,Ubisoft,,,,
Resident Evil: Welcome to Raccoon City,24-Nov-2021,"$38,600,612 ",31%,44/100,Sony Pictures Releasing,Capcom,,,,
Uncharted,18-Feb-2022,"$401,748,820 ",41%,45/100,Sony Interactive Entertainment,,,,,
Sonic the Hedgehog 2,8-Apr-2022,"$402,656,846 ",69%,47/100,Paramount Pictures,Sega,,,,
